Student Name,Student ID,Major,Most Consistent Payment Day
Beth Taylor,SID0074,Biology,26
James Davis,SID0075,Art,6
Michael Davis,SID0076,Computer Science,13
Lisa Conner,SID0077,Computer Science,30
Scott Hess,SID0078,Medicine,27
Daniel Harrison,SID0079,Computer Science,20
Emily Davis,SID0080,Biology,10
Michael Johnson,SID0081,Psychology,20
Scott Conner,SID0082,Medicine,6
Sarah Smith,SID0083,Psychology,27
Sarah McLaughlin,SID0084,Art,6
Scott Brown,SID0085,Art,1
Jessica McLaughlin,SID0086,Art,10
Emily Harrison,SID0087,Medicine,2
James McLaughlin,SID0088,Psychology,16
Richard Conner,SID0089,Psychology,23
Michael Smith,SID0090,Physics,21
Sarah Brown,SID0091,Physics,27
Emily McLaughlin,SID0092,Mathematics,2
Daniel Johnson,SID0093,Engineering,1
Scott Smith,SID0094,Art,1
Scott Guerra,SID0095,Biology,14
Jessica Conner,SID0096,Physics,3
James McLaughlin,SID0097,Medicine,17
Jessica Guerra,SID0098,Engineering,14
Scott Smith,SID0099,Biology,13
Scott Davis,SID0100,Medicine,29
Lisa McLaughlin,SID0101,Psychology,3
James McLaughlin,SID0102,Computer Science,23
Sarah Hess,SID0103,Biology,15
James Smith,SID0104,Mathematics,23
Scott Smith,SID0105,Biology,2
Beth Davis,SID0106,Computer Science,12
James Harrison,SID0107,Physics,4
Jessica Taylor,SID0108,Mathematics,14
Emily Johnson,SID0109,Physics,26
Michael Guerra,SID0110,Engineering,24
Michael McLaughlin,SID0111,Psychology,17
Michael Brown,SID0112,Medicine,1
Sarah McLaughlin,SID0113,Biology,12
Daniel Davis,SID0114,Physics,22
Scott Hess,SID0115,Engineering,8
James Taylor,SID0116,Physics,2
Lisa Hess,SID0117,Mathematics,17
Richard Smith,SID0118,Engineering,16
Emily Johnson,SID0119,Medicine,24
James Harrison,SID0120,Physics,5
Richard McLaughlin,SID0121,Medicine,25
Lisa Harrison,SID0122,Mathematics,12
James Conner,SID0123,Psychology,21
Lisa Brown,SID0124,Biology,11
Richard Brown,SID0125,Psychology,7
Sarah Conner,SID0126,Engineering,25
Lisa Johnson,SID0127,Engineering,26
Beth Taylor,SID0128,Art,26
Emily Conner,SID0129,Engineering,30
Jessica Conner,SID0130,Engineering,25
Lisa Johnson,SID0131,Physics,23
Emily Conner,SID0132,Art,14
Beth Conner,SID0133,Mathematics,14
Jessica McLaughlin,SID0134,Art,27
Daniel Taylor,SID0135,Art,30
Richard Brown,SID0136,Art,30
Richard Hess,SID0137,Physics,20
Jessica Davis,SID0138,Psychology,10
Beth Taylor,SID0139,Medicine,21
Lisa Guerra,SID0140,Biology,27
Sarah Davis,SID0141,Psychology,28
Daniel Brown,SID0142,Psychology,21
James Guerra,SID0143,Medicine,22
Michael McLaughlin,SID0144,Medicine,30
Beth Johnson,SID0145,Engineering,5
Michael McLaughlin,SID0146,Physics,24
James Hess,SID0147,Medicine,13
James Davis,SID0148,Mathematics,16
Emily McLaughlin,SID0149,Biology,2
Jessica Conner,SID0150,Engineering,6
Jessica Taylor,SID0151,Medicine,15
Daniel Brown,SID0152,Psychology,30
Emily Brown,SID0153,Art,7
Michael Brown,SID0154,Medicine,3
Sarah Johnson,SID0155,Physics,29
Jessica Guerra,SID0156,Biology,28
Beth Taylor,SID0157,Computer Science,28
Sarah Davis,SID0158,Engineering,5
Scott Harrison,SID0159,Art,30
Jessica Guerra,SID0160,Mathematics,18
Lisa Hess,SID0161,Biology,28
Jessica Brown,SID0162,Medicine,28
James McLaughlin,SID0163,Medicine,10
Lisa Taylor,SID0164,Mathematics,24
Jessica Conner,SID0165,Mathematics,13
Richard Taylor,SID0166,Physics,13
Scott Smith,SID0167,Engineering,10
Jessica Harrison,SID0168,Engineering,9
Michael Harrison,SID0169,Psychology,22
Lisa Davis,SID0170,Psychology,23
Richard Davis,SID0171,Psychology,7
Richard Taylor,SID0172,Medicine,14
Beth Harrison,SID0173,Engineering,15
Michael Johnson,SID0174,Mathematics,28
Emily Davis,SID0175,Biology,6
Emily Davis,SID0176,Art,10
Sarah Brown,SID0177,Art,11
Michael Smith,SID0178,Biology,21
Beth Guerra,SID0179,Medicine,12
Emily Davis,SID0180,Physics,8
Lisa Harrison,SID0181,Physics,12
Michael Johnson,SID0182,Mathematics,6
Daniel Hess,SID0183,Biology,20
James Taylor,SID0184,Art,7
Richard McLaughlin,SID0185,Psychology,16
Scott Harrison,SID0186,Engineering,24
Richard McLaughlin,SID0187,Art,23
Jessica Taylor,SID0188,Biology,5
Daniel Taylor,SID0189,Art,17
Richard Davis,SID0190,Physics,20
Jessica Guerra,SID0191,Biology,30
Daniel Brown,SID0192,Physics,5
Richard Conner,SID0193,Engineering,5
Daniel Harrison,SID0194,Medicine,10
Richard Taylor,SID0195,Medicine,20
Michael Guerra,SID0196,Medicine,27
Emily McLaughlin,SID0197,Biology,22
Scott Davis,SID0198,Psychology,2
Beth Johnson,SID0199,Psychology,17
Jessica Harrison,SID0200,Engineering,4
Lisa Harrison,SID0201,Mathematics,9
Beth Smith,SID0202,Medicine,2
Richard Hess,SID0203,Psychology,26
Michael McLaughlin,SID0204,Biology,2
Sarah Smith,SID0205,Engineering,9
Jessica McLaughlin,SID0206,Biology,16
Emily Hess,SID0207,Computer Science,18
Emily Guerra,SID0208,Biology,29
Jessica Guerra,SID0209,Physics,15
Beth Conner,SID0210,Mathematics,22
Daniel Guerra,SID0211,Engineering,28
Daniel McLaughlin,SID0212,Medicine,13
Emily Harrison,SID0213,Psychology,10
Michael Davis,SID0214,Psychology,29
Daniel Davis,SID0215,Biology,5
Scott Brown,SID0216,Medicine,28
Michael Brown,SID0217,Mathematics,27
Jessica Taylor,SID0218,Physics,5
Daniel Johnson,SID0219,Medicine,28
Lisa Harrison,SID0220,Physics,7
Emily Guerra,SID0221,Mathematics,14
Michael Johnson,SID0222,Biology,16
Lisa Taylor,SID0223,Biology,7
Beth Davis,SID0224,Physics,4
Emily Smith,SID0225,Medicine,5
Michael Smith,SID0226,Computer Science,15
Jessica Guerra,SID0227,Computer Science,22
Lisa Smith,SID0228,Biology,26
Scott Guerra,SID0229,Physics,29
Daniel Taylor,SID0230,Medicine,19
Beth McLaughlin,SID0231,Mathematics,3
Richard Guerra,SID0232,Engineering,21
James Brown,SID0233,Psychology,18
Emily Guerra,SID0234,Engineering,2
Daniel Davis,SID0235,Physics,13
Beth Harrison,SID0236,Physics,23
James Harrison,SID0237,Psychology,9
Emily Harrison,SID0238,Physics,18
Beth Davis,SID0239,Physics,21
Richard Brown,SID0240,Medicine,18
Michael Taylor,SID0241,Physics,14
Michael Taylor,SID0242,Mathematics,9
Daniel McLaughlin,SID0243,Computer Science,26
Sarah Harrison,SID0244,Psychology,1
Jessica McLaughlin,SID0245,Computer Science,16
Richard Harrison,SID0246,Mathematics,9
Lisa Harrison,SID0247,Mathematics,15
Emily Johnson,SID0248,Engineering,21
Beth McLaughlin,SID0249,Physics,28
Daniel Conner,SID0250,Engineering,28
Richard Davis,SID0251,Mathematics,20
Jessica Brown,SID0252,Engineering,23
James Harrison,SID0253,Medicine,5
Sarah Hess,SID0254,Mathematics,29
Michael Davis,SID0255,Computer Science,2
Scott Taylor,SID0256,Art,9
James Davis,SID0257,Art,25
Lisa Davis,SID0258,Medicine,28
Jessica Taylor,SID0259,Mathematics,25
Sarah Taylor,SID0260,Physics,4
Michael Brown,SID0261,Computer Science,2
James Davis,SID0262,Computer Science,19
Lisa Davis,SID0263,Biology,7
Beth Taylor,SID0264,Physics,5
Jessica Brown,SID0265,Biology,14
Michael Harrison,SID0266,Physics,12
Richard Harrison,SID0267,Psychology,29
Beth Brown,SID0268,Engineering,8
James Brown,SID0269,Medicine,9
Lisa Johnson,SID0270,Art,20
Richard Guerra,SID0271,Engineering,22
Michael Taylor,SID0272,Physics,28
Emily Taylor,SID0273,Art,29
Michael Smith,SID0274,Art,20
Beth Smith,SID0275,Medicine,3
Daniel Hess,SID0276,Engineering,16
Beth Davis,SID0277,Mathematics,26
Lisa Taylor,SID0278,Engineering,26
Lisa Harrison,SID0279,Engineering,6
Richard Conner,SID0280,Art,20
Lisa Smith,SID0281,Computer Science,4
Sarah McLaughlin,SID0282,Computer Science,28
Daniel Hess,SID0283,Physics,25
Lisa Conner,SID0284,Computer Science,23
Richard Conner,SID0285,Physics,24
Richard Taylor,SID0286,Engineering,12
Beth Conner,SID0287,Computer Science,24
Emily Smith,SID0288,Computer Science,22
Daniel Harrison,SID0289,Biology,27
Daniel Hess,SID0290,Biology,19
Richard Smith,SID0291,Medicine,18
Sarah Guerra,SID0292,Mathematics,23
James Smith,SID0293,Physics,6
Emily Harrison,SID0294,Art,11
Lisa Conner,SID0295,Medicine,13
Beth Brown,SID0296,Psychology,16
Lisa Johnson,SID0297,Mathematics,1
Beth Conner,SID0298,Computer Science,23
Sarah Davis,SID0299,Engineering,26
James Davis,SID0300,Psychology,20
Beth Davis,SID0301,Biology,7
Michael McLaughlin,SID0302,Computer Science,21
Jessica Taylor,SID0303,Mathematics,19
Sarah Harrison,SID0304,Physics,15
Michael Harrison,SID0305,Medicine,22
Jessica Taylor,SID0306,Psychology,16
Jessica Hess,SID0307,Medicine,16
Scott Brown,SID0308,Engineering,5
Emily Guerra,SID0309,Physics,27
Scott Smith,SID0310,Biology,10
Beth Smith,SID0311,Medicine,6
Daniel Johnson,SID0312,Engineering,12
Emily Hess,SID0313,Psychology,14
Lisa Johnson,SID0314,Biology,30
Michael Hess,SID0315,Engineering,13
Sarah Guerra,SID0316,Psychology,8
Lisa McLaughlin,SID0317,Computer Science,10
Jessica McLaughlin,SID0318,Physics,12
Lisa Conner,SID0319,Engineering,23
Sarah McLaughlin,SID0320,Biology,9
Scott McLaughlin,SID0321,Mathematics,20
Scott McLaughlin,SID0322,Biology,9
Sarah Taylor,SID0323,Mathematics,7
Jessica Taylor,SID0324,Computer Science,12
Lisa Harrison,SID0325,Psychology,12
Richard Taylor,SID0326,Mathematics,9
Scott Harrison,SID0327,Art,6
Beth Brown,SID0328,Medicine,19
Michael Smith,SID0329,Physics,23
Beth Hess,SID0330,Psychology,27
Richard McLaughlin,SID0331,Psychology,6
Michael Taylor,SID0332,Biology,13
Sarah Smith,SID0333,Mathematics,8
Lisa Smith,SID0334,Mathematics,2
Lisa Hess,SID0335,Computer Science,29
James McLaughlin,SID0336,Engineering,14
Jessica Harrison,SID0337,Medicine,6
Lisa Hess,SID0338,Art,4
Jessica Davis,SID0339,Medicine,15
Emily Davis,SID0340,Mathematics,23
Sarah Taylor,SID0341,Mathematics,30
Daniel Harrison,SID0342,Art,29
Jessica Smith,SID0343,Biology,26
Daniel Smith,SID0344,Medicine,8
Richard Conner,SID0345,Psychology,13
Jessica Johnson,SID0346,Medicine,8
James Harrison,SID0347,Mathematics,24
Sarah Guerra,SID0348,Art,23
Scott McLaughlin,SID0349,Biology,3
Lisa Taylor,SID0350,Computer Science,29
Beth Johnson,SID0351,Engineering,5
Jessica Brown,SID0352,Physics,21
James Guerra,SID0353,Psychology,15
James Smith,SID0354,Engineering,5
Sarah Harrison,SID0355,Physics,8
Richard Conner,SID0356,Computer Science,11
Emily Johnson,SID0357,Psychology,21
Beth Hess,SID0358,Art,2
James Conner,SID0359,Medicine,18
Sarah Harrison,SID0360,Engineering,22
Jessica Harrison,SID0361,Biology,30
Jessica Harrison,SID0362,Engineering,15
Jessica Harrison,SID0363,Mathematics,11
James Smith,SID0364,Mathematics,9
Sarah Davis,SID0365,Mathematics,25
Emily McLaughlin,SID0366,Biology,12
Daniel Davis,SID0367,Physics,8
James Taylor,SID0368,Art,21
Beth Hess,SID0369,Physics,29
Daniel Brown,SID0370,Computer Science,20
Jessica Davis,SID0371,Medicine,10
James Davis,SID0372,Psychology,26
Richard Smith,SID0373,Biology,20
Sarah Johnson,SID0374,Biology,6
Michael Conner,SID0375,Medicine,19
Beth Smith,SID0376,Computer Science,9
Scott Taylor,SID0377,Psychology,15
Daniel Harrison,SID0378,Medicine,24
Beth Davis,SID0379,Biology,3
Sarah Taylor,SID0380,Psychology,10
Scott McLaughlin,SID0381,Psychology,4
Sarah Guerra,SID0382,Computer Science,10
Jessica Taylor,SID0383,Engineering,2
James Davis,SID0384,Psychology,2
Beth Conner,SID0385,Art,22
Jessica Taylor,SID0386,Medicine,4
Michael Conner,SID0387,Engineering,14
Daniel Brown,SID0388,Art,19
Sarah Guerra,SID0389,Engineering,22
Scott Hess,SID0390,Art,19
Richard Johnson,SID0391,Physics,3
Lisa Taylor,SID0392,Medicine,11
Jessica Davis,SID0393,Mathematics,10
Sarah Davis,SID0394,Engineering,28
Sarah Smith,SID0395,Medicine,2
Michael Hess,SID0396,Computer Science,1
Michael Smith,SID0397,Biology,13
Richard Harrison,SID0398,Art,22
Lisa Brown,SID0399,Medicine,6
Daniel Guerra,SID0400,Mathematics,16
Sarah Guerra,SID0401,Medicine,6
Sarah Harrison,SID0402,Art,13
Michael Brown,SID0403,Art,24
James Hess,SID0404,Biology,26
Beth McLaughlin,SID0405,Biology,25
Lisa Guerra,SID0406,Biology,5
Sarah Harrison,SID0407,Psychology,8
Richard Guerra,SID0408,Computer Science,3
Emily Smith,SID0409,Engineering,28
Emily Harrison,SID0410,Engineering,21
Michael Conner,SID0411,Physics,24
Sarah Hess,SID0412,Physics,23
Emily Conner,SID0413,Art,28
Lisa Brown,SID0414,Computer Science,29
Jessica Conner,SID0415,Mathematics,27
Daniel Smith,SID0416,Biology,10
Lisa Hess,SID0417,Art,19
James McLaughlin,SID0418,Mathematics,22
Sarah McLaughlin,SID0419,Mathematics,17
Jessica Hess,SID0420,Mathematics,25
Lisa Smith,SID0421,Psychology,16
Scott Harrison,SID0422,Physics,6
Jessica Brown,SID0423,Engineering,29
Jessica Harrison,SID0424,Medicine,29
Sarah Taylor,SID0425,Biology,3
Daniel Conner,SID0426,Biology,23
Jessica McLaughlin,SID0427,Medicine,28
Emily Harrison,SID0428,Biology,5
Sarah Guerra,SID0429,Psychology,4
Scott Taylor,SID0430,Computer Science,3
Beth Davis,SID0431,Computer Science,17
Emily Harrison,SID0432,Medicine,17
Lisa Johnson,SID0433,Medicine,14
Lisa Davis,SID0434,Psychology,8
Emily Guerra,SID0435,Engineering,28
Sarah Hess,SID0436,Biology,6
Daniel Davis,SID0437,Computer Science,4
Michael Davis,SID0438,Engineering,24
Michael Conner,SID0439,Mathematics,29
Jessica Brown,SID0440,Psychology,30
Jessica Guerra,SID0441,Biology,5
Lisa Harrison,SID0442,Mathematics,1
James Johnson,SID0443,Computer Science,29
Sarah Guerra,SID0444,Art,6
Beth Smith,SID0445,Computer Science,13
Sarah Davis,SID0446,Physics,23
Lisa Davis,SID0447,Physics,7
Scott Davis,SID0448,Computer Science,12
Daniel McLaughlin,SID0449,Biology,22
Scott Smith,SID0450,Biology,1
Emily Harrison,SID0451,Engineering,5
Beth Brown,SID0452,Biology,12
Beth Brown,SID0453,Computer Science,17
Richard Conner,SID0454,Computer Science,14
Lisa McLaughlin,SID0455,Biology,26
Daniel McLaughlin,SID0456,Mathematics,29
Daniel Guerra,SID0457,Computer Science,30
Sarah McLaughlin,SID0458,Mathematics,11
Michael Taylor,SID0459,Mathematics,4
Beth Guerra,SID0460,Art,29
Lisa Brown,SID0461,Engineering,30
Lisa Guerra,SID0462,Engineering,27
James Brown,SID0463,Medicine,3
Daniel Hess,SID0464,Computer Science,15
Emily Smith,SID0465,Psychology,25
Daniel Harrison,SID0466,Biology,18
Daniel Guerra,SID0467,Art,11
Sarah Harrison,SID0468,Psychology,19
Emily Smith,SID0469,Mathematics,20
Jessica McLaughlin,SID0470,Engineering,27
Beth Guerra,SID0471,Art,24
Lisa Brown,SID0472,Art,8
Sarah Guerra,SID0473,Mathematics,28
Emily Harrison,SID0474,Computer Science,14
Scott Johnson,SID0475,Engineering,10
Michael Conner,SID0476,Medicine,18
Scott Harrison,SID0477,Medicine,5
Richard Guerra,SID0478,Psychology,10
Daniel Brown,SID0479,Psychology,4
Jessica Conner,SID0480,Psychology,12
Daniel Smith,SID0481,Physics,16
Jessica Brown,SID0482,Physics,5
Daniel Conner,SID0483,Physics,8
James Smith,SID0484,Computer Science,30
Emily Johnson,SID0485,Biology,4
Jessica Conner,SID0486,Mathematics,16
Richard McLaughlin,SID0487,Mathematics,29
Michael Harrison,SID0488,Mathematics,13
Daniel Conner,SID0489,Mathematics,28
Richard Conner,SID0490,Psychology,6
Emily McLaughlin,SID0491,Physics,17
Daniel Brown,SID0492,Medicine,25
Lisa Johnson,SID0493,Art,29
Sarah Hess,SID0494,Mathematics,7
Daniel Guerra,SID0495,Medicine,1
Sarah Guerra,SID0496,Mathematics,4
Emily Harrison,SID0497,Art,26
Beth Brown,SID0498,Engineering,26
Michael Brown,SID0499,Medicine,5
Scott Johnson,SID0500,Mathematics,19
James McLaughlin,SID0501,Biology,8
Daniel Brown,SID0502,Computer Science,23
Richard Johnson,SID0503,Physics,15
Lisa Johnson,SID0504,Physics,30
Emily Guerra,SID0505,Medicine,1
Beth Smith,SID0506,Art,1
Daniel Johnson,SID0507,Biology,29
Beth Guerra,SID0508,Biology,10
Daniel McLaughlin,SID0509,Engineering,16
Michael Conner,SID0510,Engineering,7
Scott Davis,SID0511,Computer Science,15
Jessica Conner,SID0512,Art,17
Scott Brown,SID0513,Psychology,9
Michael Guerra,SID0514,Mathematics,9
Scott Taylor,SID0515,Medicine,19
Lisa Taylor,SID0516,Computer Science,10
Scott Conner,SID0517,Psychology,14
Scott Harrison,SID0518,Psychology,6
Beth Brown,SID0519,Physics,28
Sarah Brown,SID0520,Mathematics,1
Sarah Johnson,SID0521,Medicine,7
Emily Johnson,SID0522,Physics,30
James Davis,SID0523,Biology,3
Scott Hess,SID0524,Art,19
Michael Hess,SID0525,Biology,30
Sarah Conner,SID0526,Biology,25
Emily McLaughlin,SID0527,Biology,1
Sarah Conner,SID0528,Biology,29
Michael Davis,SID0529,Computer Science,11
Richard Davis,SID0530,Physics,2
Scott Conner,SID0531,Art,3
Emily Harrison,SID0532,Physics,24
Emily McLaughlin,SID0533,Biology,23
Jessica Taylor,SID0534,Biology,29
Emily Hess,SID0535,Physics,10
Scott Conner,SID0536,Engineering,12
Daniel Hess,SID0537,Physics,28
Scott Harrison,SID0538,Mathematics,10
Scott Hess,SID0539,Art,2
Beth Smith,SID0540,Physics,12
Jessica Taylor,SID0541,Medicine,28
Daniel Conner,SID0542,Art,3
Beth Conner,SID0543,Medicine,30
James Guerra,SID0544,Psychology,16
Richard Smith,SID0545,Medicine,12
James Taylor,SID0546,Computer Science,21
James Taylor,SID0547,Medicine,1
Jessica McLaughlin,SID0548,Computer Science,22
Daniel Harrison,SID0549,Art,16
Michael Smith,SID0550,Computer Science,1
Jessica Smith,SID0551,Mathematics,30
James Davis,SID0552,Psychology,14
Lisa Smith,SID0553,Art,21
Sarah Davis,SID0554,Medicine,26
Sarah McLaughlin,SID0555,Computer Science,20
Scott Guerra,SID0556,Psychology,10
Richard Davis,SID0557,Psychology,3
Richard Davis,SID0558,Computer Science,28
Lisa Smith,SID0559,Art,30
Richard Taylor,SID0560,Physics,4
Sarah Johnson,SID0561,Psychology,28
Sarah Conner,SID0562,Biology,5
Emily Harrison,SID0563,Physics,5
Emily Davis,SID0564,Mathematics,27
Sarah Conner,SID0565,Art,2
Lisa Davis,SID0566,Art,24
Emily Hess,SID0567,Psychology,21
Jessica Guerra,SID0568,Mathematics,28
Michael Hess,SID0569,Psychology,6
Sarah Johnson,SID0570,Biology,4
James Taylor,SID0571,Computer Science,11
Sarah Johnson,SID0572,Engineering,19
Daniel Johnson,SID0573,Engineering,11
Emily McLaughlin,SID0574,Art,5
Scott McLaughlin,SID0575,Physics,2
Beth Johnson,SID0576,Computer Science,18
Lisa Conner,SID0577,Mathematics,10
Emily Hess,SID0578,Medicine,16
Scott Brown,SID0579,Biology,9
Richard McLaughlin,SID0580,Engineering,15
Richard Guerra,SID0581,Computer Science,24
James Davis,SID0582,Computer Science,14
Richard Davis,SID0583,Computer Science,13
Lisa Taylor,SID0584,Engineering,1
Sarah Guerra,SID0585,Engineering,8
Lisa Davis,SID0586,Biology,27
Beth Johnson,SID0587,Engineering,7
Richard Johnson,SID0588,Engineering,18
Emily Harrison,SID0589,Computer Science,16
Richard Guerra,SID0590,Computer Science,29
Richard Taylor,SID0591,Engineering,14
Lisa Taylor,SID0592,Computer Science,4
Richard McLaughlin,SID0593,Psychology,4
Michael McLaughlin,SID0594,Mathematics,17
Richard Davis,SID0595,Art,15
Daniel Taylor,SID0596,Medicine,14
Daniel Taylor,SID0597,Biology,12
Daniel McLaughlin,SID0598,Engineering,6
Richard Harrison,SID0599,Medicine,28
Michael Hess,SID0600,Art,9
Jessica Guerra,SID0601,Art,14
Emily Conner,SID0602,Psychology,23
Scott Harrison,SID0603,Biology,14
Emily Conner,SID0604,Biology,5
Michael Smith,SID0605,Art,16
Emily Brown,SID0606,Physics,12
Daniel Conner,SID0607,Computer Science,13
Emily Brown,SID0608,Art,29
Daniel Johnson,SID0609,Engineering,12
Daniel Smith,SID0610,Art,13
Michael McLaughlin,SID0611,Mathematics,29
Richard Taylor,SID0612,Medicine,18
Daniel McLaughlin,SID0613,Computer Science,30
Sarah Guerra,SID0614,Biology,25
James Johnson,SID0615,Computer Science,23
Sarah Guerra,SID0616,Art,14
James McLaughlin,SID0617,Art,11
Sarah Smith,SID0618,Physics,20
Michael Smith,SID0619,Medicine,27
Sarah McLaughlin,SID0620,Mathematics,19
Emily McLaughlin,SID0621,Engineering,25
Michael Taylor,SID0622,Engineering,24
Scott Smith,SID0623,Engineering,28
James Johnson,SID0624,Psychology,2
James Smith,SID0625,Biology,6
Richard Taylor,SID0626,Biology,29
Daniel McLaughlin,SID0627,Engineering,23
Jessica Hess,SID0628,Computer Science,30
James Conner,SID0629,Mathematics,8
Daniel Guerra,SID0630,Physics,29
Jessica Smith,SID0631,Physics,23
Daniel Smith,SID0632,Biology,16
Sarah Brown,SID0633,Art,24
Scott Taylor,SID0634,Psychology,18
Michael Harrison,SID0635,Art,18
Lisa McLaughlin,SID0636,Computer Science,27
Michael Conner,SID0637,Engineering,27
James Taylor,SID0638,Biology,15
Michael Guerra,SID0639,Psychology,4
Emily Johnson,SID0640,Physics,30
Sarah Harrison,SID0641,Computer Science,17
Beth Guerra,SID0642,Mathematics,20
James Conner,SID0643,Biology,3
Jessica Guerra,SID0644,Biology,19
Beth Brown,SID0645,Psychology,25
Lisa Hess,SID0646,Computer Science,12
Sarah Hess,SID0647,Physics,1
Daniel Johnson,SID0648,Computer Science,23
Emily Harrison,SID0649,Physics,12
Daniel Harrison,SID0650,Engineering,5
James Smith,SID0651,Art,28
Richard Johnson,SID0652,Mathematics,29
Richard Guerra,SID0653,Psychology,30
Lisa Harrison,SID0654,Engineering,2
Jessica Conner,SID0655,Physics,6
Jessica Guerra,SID0656,Mathematics,24
Richard Harrison,SID0657,Psychology,22
Lisa Davis,SID0658,Psychology,3
James McLaughlin,SID0659,Biology,20
Emily Davis,SID0660,Physics,8
Daniel McLaughlin,SID0661,Psychology,25
Sarah Davis,SID0662,Engineering,25
Emily Guerra,SID0663,Biology,12
Michael Hess,SID0664,Psychology,4
Sarah Guerra,SID0665,Physics,8
Lisa Conner,SID0666,Engineering,13
Emily Harrison,SID0667,Computer Science,4
Jessica Guerra,SID0668,Psychology,2
Beth Guerra,SID0669,Art,9
Beth McLaughlin,SID0670,Medicine,14
Daniel Johnson,SID0671,Engineering,12
Beth Brown,SID0672,Engineering,1
Lisa McLaughlin,SID0673,Medicine,29
Lisa Guerra,SID0674,Physics,2
Scott Brown,SID0675,Mathematics,18
James Harrison,SID0676,Medicine,15
Sarah Harrison,SID0677,Biology,8
Lisa Brown,SID0678,Mathematics,25
James Harrison,SID0679,Psychology,5
Richard Guerra,SID0680,Engineering,25
Jessica Brown,SID0681,Psychology,24
Lisa McLaughlin,SID0682,Computer Science,11
Jessica Conner,SID0683,Engineering,29
Michael Davis,SID0684,Computer Science,8
Lisa Taylor,SID0685,Art,18
Sarah Hess,SID0686,Psychology,26
Jessica McLaughlin,SID0687,Medicine,20
Daniel Smith,SID0688,Biology,5
Jessica Hess,SID0689,Art,9
Lisa Smith,SID0690,Psychology,10
James Smith,SID0691,Art,1
Emily Taylor,SID0692,Psychology,3
Scott Johnson,SID0693,Medicine,25
Richard Guerra,SID0694,Engineering,25
Emily Conner,SID0695,Art,16
Emily Guerra,SID0696,Mathematics,9
Lisa McLaughlin,SID0697,Physics,16
Michael Hess,SID0698,Biology,1
Beth McLaughlin,SID0699,Medicine,18
James Taylor,SID0700,Physics,29
Jessica Taylor,SID0701,Mathematics,4
Richard Guerra,SID0702,Biology,20
Jessica McLaughlin,SID0703,Psychology,7
Lisa Smith,SID0704,Mathematics,17
Emily Taylor,SID0705,Physics,1
